Name,Card ID,Set,Set Code,Card Number,Type,Rarity,Year,Language,Variant,Artist,Japanese Expansion,Japanese Card Number,Notes
Scyther,jungle_26_non_holo_es,Jungle,JU,26/64,Grass,Common,1999,Spanish,Non-Holofoil,Ken Sugimori,Pokémon Jungle,,Non-holo version from Jungle expansion
Scyther,base_set_2_17_nl,Base Set 2,BS2,17/130,Grass,Rare Holo,2000,Dutch,Holofoil (Reprint),Ken Sugimori,,,Reprint of Jungle Scyther with same artwork
Scyther,base_set_2_17,Base Set 2,BS2,17/130,Grass,Rare Holo,2000,English,Holofoil (Reprint),Ken Sugimori,,,Reprint of Jungle Scyther with same artwork
Insécateur,base_set_2_17_fr,Base Set 2,BS2,17/130,Grass,Rare Holo,2000,French,Holofoil (Reprint),Ken Sugimori,,,Reprint of Jungle Scyther with same artwork
Sichlor,base_set_2_17_de,Base Set 2,BS2,17/130,Grass,Rare Holo,2000,German,Holofoil (Reprint),Ken Sugimori,,,Reprint of Jungle Scyther with same artwork
Scyther,base_set_2_17_it,Base Set 2,BS2,17/130,Grass,Rare Holo,2000,Italian,Holofoil (Reprint),Ken Sugimori,,,Reprint of Jungle Scyther with same artwork
Scyther,base_set_2_17_es,Base Set 2,BS2,17/130,Grass,Rare Holo,2000,Spanish,Holofoil (Reprint),Ken Sugimori,,,Reprint of Jungle Scyther with same artwork
Rocket's Scyther,gym_heroes_13,Gym Heroes,GH,13/132,Grass,Rare Holo,2000,English,Team Rocket Version,Ken Sugimori,Leaders' Stadium,,Special Rocket's variant with Shadow Images attack
Insécateur de Rocket,gym_heroes_13_fr,Gym Heroes,GH,13/132,Grass,Rare Holo,2000,French,Team Rocket Version,Ken Sugimori,Leaders' Stadium,,Special Rocket's variant with Shadow Images attack
Rockets Sichlor,gym_heroes_13_de,Gym Heroes,GH,13/132,Grass,Rare Holo,2000,German,Team Rocket Version,Ken Sugimori,Leaders' Stadium,,Special Rocket's variant with Shadow Images attack
Scyther di Rocket,gym_heroes_13_it,Gym Heroes,GH,13/132,Grass,Rare Holo,2000,Italian,Team Rocket Version,Ken Sugimori,Leaders' Stadium,,Special Rocket's variant with Shadow Images attack
Scyther,wizards_promo_45,Wizards Black Star Promos,WB,45,Grass,Promo,2000,English,Promotional,,,,Promo card from Wizards era
Scyther,aquapolis_106,Aquapolis,AQ,106/147,Grass,Common,2001,English,Standard,,Wind from the Sea,016/087,Aquapolis common version
Scyther,aquapolis_57,Aquapolis,AQ,57/147,Grass,Uncommon,2001,English,Standard,,Wind from the Sea,017/087,Aquapolis uncommon
Scyther,neo_destiny_55,Neo Destiny,ND,55/105,Grass,Uncommon,2001,English,Standard,,"Darkness, and to Light...",55/105,Neo Destiny era Scyther
Insécateur,neo_destiny_55_fr,Neo Destiny,ND,55/105,Grass,Uncommon,2001,French,Standard,,"Darkness, and to Light...",55/105,Neo Destiny era Scyther
Sichlor,neo_destiny_55_de,Neo Destiny,ND,55/105,Grass,Uncommon,2001,German,Standard,,"Darkness, and to Light...",55/105,Neo Destiny era Scyther
Scyther,neo_destiny_55_it,Neo Destiny,ND,55/105,Grass,Uncommon,2001,Italian,Standard,,"Darkness, and to Light...",55/105,Neo Destiny era Scyther
Scyther,neo_discovery_46,Neo Discovery,ND,46/75,Grass,Uncommon,2001,English,Standard,,Crossing the Ruins...,46/75,Neo era Scyther uncommon
Insécateur,neo_discovery_46_fr,Neo Discovery,ND,46/75,Grass,Uncommon,2001,French,Standard,,Crossing the Ruins...,46/75,Neo era Scyther uncommon
Sichlor,neo_discovery_46_de,Neo Discovery,ND,46/75,Grass,Uncommon,2001,German,Standard,,Crossing the Ruins...,46/75,Neo era Scyther uncommon
Scyther,neo_discovery_46_it,Neo Discovery,ND,46/75,Grass,Uncommon,2001,Italian,Standard,,Crossing the Ruins...,46/75,Neo era Scyther uncommon
Scyther ex,ex_ruby_sapphire_102,EX Ruby & Sapphire,RS,102/109,Grass,Rare Holo ex,2003,English,EX Variant,Ryo Ueda,Treecko Constructed Starter Deck,001/019,"First Scyther ex card, combines elements of classic Scyther designs"
Insécateur ex,ex_ruby_sapphire_102_fr,EX Ruby & Sapphire,RS,102/109,Grass,Rare Holo ex,2003,French,EX Variant,Ryo Ueda,Treecko Constructed Starter Deck,001/019,"First Scyther ex card, combines elements of classic Scyther designs"
Sichlor ex,ex_ruby_sapphire_102_de,EX Ruby & Sapphire,RS,102/109,Grass,Rare Holo ex,2003,German,EX Variant,Ryo Ueda,Treecko Constructed Starter Deck,001/019,"First Scyther ex card, combines elements of classic Scyther designs"
Scyther ex,ex_ruby_sapphire_102_it,EX Ruby & Sapphire,RS,102/109,Grass,Rare Holo ex,2003,Italian,EX Variant,Ryo Ueda,Treecko Constructed Starter Deck,001/019,"First Scyther ex card, combines elements of classic Scyther designs"
ストライク ex,ex_ruby_sapphire_102_ja,EX Ruby & Sapphire,RS,102/109,Grass,Rare Holo ex,2003,Japanese,EX Variant,Ryo Ueda,Treecko Constructed Starter Deck,001/019,"First Scyther ex card, combines elements of classic Scyther designs"
Scyther,ex_firered_leafgreen_29,EX FireRed & LeafGreen,FR,29/112,Grass,Rare,2004,English,Standard,,Flight of Legends,019/082,EX era Scyther
Insécateur,ex_firered_leafgreen_29_fr,EX FireRed & LeafGreen,FR,29/112,Grass,Rare,2004,French,Standard,,Flight of Legends,019/082,EX era Scyther
Sichlor,ex_firered_leafgreen_29_de,EX FireRed & LeafGreen,FR,29/112,Grass,Rare,2004,German,Standard,,Flight of Legends,019/082,EX era Scyther
Scyther,ex_firered_leafgreen_29_it,EX FireRed & LeafGreen,FR,29/112,Grass,Rare,2004,Italian,Standard,,Flight of Legends,019/082,EX era Scyther
Scyther,ex_firered_leafgreen_29_es,EX FireRed & LeafGreen,FR,29/112,Grass,Rare,2004,Spanish,Standard,,Flight of Legends,019/082,EX era Scyther
Rocket's Scyther ex,ex_team_rocket_returns_102,EX Team Rocket Returns,TR,102/109,Grass,Rare Holo ex,2004,English,Team Rocket EX Version,,Rocket Gang Strikes Back,061/084,Special Team Rocket variant of Scyther ex
Insécateur de Rocket,ex_team_rocket_returns_102_fr,EX Team Rocket Returns,TR,102/109,Grass,Rare Holo ex,2004,French,Team Rocket EX Version,,Rocket Gang Strikes Back,061/084,Special Team Rocket variant of Scyther ex
Rockets Sichlor,ex_team_rocket_returns_102_de,EX Team Rocket Returns,TR,102/109,Grass,Rare Holo ex,2004,German,Team Rocket EX Version,,Rocket Gang Strikes Back,061/084,Special Team Rocket variant of Scyther ex
Scyther di Rocket,ex_team_rocket_returns_102_it,EX Team Rocket Returns,TR,102/109,Grass,Rare Holo ex,2004,Italian,Team Rocket EX Version,,Rocket Gang Strikes Back,061/084,Special Team Rocket variant of Scyther ex
ロケット団のストライク,ex_team_rocket_returns_102_ja,EX Team Rocket Returns,TR,102/109,Grass,Rare Holo ex,2004,Japanese,Team Rocket EX Version,,Rocket Gang Strikes Back,061/084,Special Team Rocket variant of Scyther ex
Scyther,ex_unseen_forces_46,EX Unseen Forces,UF,46/115,Grass,Uncommon,2005,English,Standard,,"Golden Sky, Silvery Ocean",003/106,EX Unseen Forces uncommon
Insécateur,ex_unseen_forces_46_fr,EX Unseen Forces,UF,46/115,Grass,Uncommon,2005,French,Standard,,"Golden Sky, Silvery Ocean",003/106,EX Unseen Forces uncommon
Sichlor,ex_unseen_forces_46_de,EX Unseen Forces,UF,46/115,Grass,Uncommon,2005,German,Standard,,"Golden Sky, Silvery Ocean",003/106,EX Unseen Forces uncommon
Scyther,ex_unseen_forces_46_it,EX Unseen Forces,UF,46/115,Grass,Uncommon,2005,Italian,Standard,,"Golden Sky, Silvery Ocean",003/106,EX Unseen Forces uncommon
Scyther,ex_unseen_forces_46_es,EX Unseen Forces,UF,46/115,Grass,Uncommon,2005,Spanish,Standard,,"Golden Sky, Silvery Ocean",003/106,EX Unseen Forces uncommon
Scyther,majestic_dawn_46,Majestic Dawn,MD,46/100,Grass,Uncommon,2008,English,Standard,,Moonlit Pursuit,,Majestic Dawn uncommon
Insécateur,majestic_dawn_46_fr,Majestic Dawn,MD,46/100,Grass,Uncommon,2008,French,Standard,,Moonlit Pursuit,,Majestic Dawn uncommon
Sichlor,majestic_dawn_46_de,Majestic Dawn,MD,46/100,Grass,Uncommon,2008,German,Standard,,Moonlit Pursuit,,Majestic Dawn uncommon
Scyther,majestic_dawn_46_it,Majestic Dawn,MD,46/100,Grass,Uncommon,2008,Italian,Standard,,Moonlit Pursuit,,Majestic Dawn uncommon
Scyther,majestic_dawn_46_pt,Majestic Dawn,MD,46/100,Grass,Uncommon,2008,Portuguese,Standard,,Moonlit Pursuit,,Majestic Dawn uncommon
Scyther,majestic_dawn_46_es,Majestic Dawn,MD,46/100,Grass,Uncommon,2008,Spanish,Standard,,Moonlit Pursuit,,Majestic Dawn uncommon
Scyther,stormfront_49,Stormfront,SF,49/100,Grass,Uncommon,2008,English,Standard,,Intense Fight in the Destroyed Sky,003/092,Stormfront uncommon
Insécateur,stormfront_49_fr,Stormfront,SF,49/100,Grass,Uncommon,2008,French,Standard,,Intense Fight in the Destroyed Sky,003/092,Stormfront uncommon
Sichlor,stormfront_49_de,Stormfront,SF,49/100,Grass,Uncommon,2008,German,Standard,,Intense Fight in the Destroyed Sky,003/092,Stormfront uncommon
Scyther,stormfront_49_it,Stormfront,SF,49/100,Grass,Uncommon,2008,Italian,Standard,,Intense Fight in the Destroyed Sky,003/092,Stormfront uncommon
Scyther,stormfront_49_pt,Stormfront,SF,49/100,Grass,Uncommon,2008,Portuguese,Standard,,Intense Fight in the Destroyed Sky,003/092,Stormfront uncommon
Scyther,stormfront_49_es,Stormfront,SF,49/100,Grass,Uncommon,2008,Spanish,Standard,,Intense Fight in the Destroyed Sky,003/092,Stormfront uncommon
Scyther,platinum_130_secret,Platinum,PL,130/127,Grass,Rare Secret,2009,English,Secret Rare (Reprint),Ken Sugimori,Galactic's Conquest,094/096,Retro-style reprint with modern wording. Secret rare.
Insécateur,platinum_130_secret_fr,Platinum,PL,130/127,Grass,Rare Secret,2009,French,Secret Rare (Reprint),Ken Sugimori,Galactic's Conquest,094/096,Retro-style reprint with modern wording. Secret rare.
Sichlor,platinum_130_secret_de,Platinum,PL,130/127,Grass,Rare Secret,2009,German,Secret Rare (Reprint),Ken Sugimori,Galactic's Conquest,094/096,Retro-style reprint with modern wording. Secret rare.
Scyther,platinum_130_secret_it,Platinum,PL,130/127,Grass,Rare Secret,2009,Italian,Secret Rare (Reprint),Ken Sugimori,Galactic's Conquest,094/096,Retro-style reprint with modern wording. Secret rare.
Scyther,platinum_130_secret_es,Platinum,PL,130/127,Grass,Rare Secret,2009,Spanish,Secret Rare (Reprint),Ken Sugimori,Galactic's Conquest,094/096,Retro-style reprint with modern wording. Secret rare.
Scyther,undaunted_36,Undaunted,UD,36/90,Grass,Uncommon,2010,English,Standard,,Reviving Legends,005/080,Undaunted uncommon
Insécateur,undaunted_36_fr,Undaunted,UD,36/90,Grass,Uncommon,2010,French,Standard,,Reviving Legends,005/080,Undaunted uncommon
Sichlor,undaunted_36_de,Undaunted,UD,36/90,Grass,Uncommon,2010,German,Standard,,Reviving Legends,005/080,Undaunted uncommon
Scyther,undaunted_36_it,Undaunted,UD,36/90,Grass,Uncommon,2010,Italian,Standard,,Reviving Legends,005/080,Undaunted uncommon
Scyther,undaunted_36_pt,Undaunted,UD,36/90,Grass,Uncommon,2010,Portuguese,Standard,,Reviving Legends,005/080,Undaunted uncommon
Scyther,undaunted_36_es,Undaunted,UD,36/90,Grass,Uncommon,2010,Spanish,Standard,,Reviving Legends,005/080,Undaunted uncommon
Scyther,undaunted_65,Undaunted,UD,65/90,Grass,Common,2010,English,Standard,,Steelix Constructed Standard Deck,001/019,Undaunted common version
Insécateur,undaunted_65_fr,Undaunted,UD,65/90,Grass,Common,2010,French,Standard,,Steelix Constructed Standard Deck,001/019,Undaunted common version
Sichlor,undaunted_65_de,Undaunted,UD,65/90,Grass,Common,2010,German,Standard,,Steelix Constructed Standard Deck,001/019,Undaunted common version
Scyther,undaunted_65_it,Undaunted,UD,65/90,Grass,Common,2010,Italian,Standard,,Steelix Constructed Standard Deck,001/019,Undaunted common version
Scyther,undaunted_65_pt,Undaunted,UD,65/90,Grass,Common,2010,Portuguese,Standard,,Steelix Constructed Standard Deck,001/019,Undaunted common version
Scyther,undaunted_65_es,Undaunted,UD,65/90,Grass,Common,2010,Spanish,Standard,,Steelix Constructed Standard Deck,001/019,Undaunted common version
Scyther,boundaries_crossed_7,Boundaries Crossed,BC,7/149,Grass,Common,2012,English,Standard,,Cold Flare,003/059,Boundaries Crossed common
Insécateur,boundaries_crossed_7_fr,Boundaries Crossed,BC,7/149,Grass,Common,2012,French,Standard,,Cold Flare,003/059,Boundaries Crossed common
Sichlor,boundaries_crossed_7_de,Boundaries Crossed,BC,7/149,Grass,Common,2012,German,Standard,,Cold Flare,003/059,Boundaries Crossed common
Scyther,boundaries_crossed_7_it,Boundaries Crossed,BC,7/149,Grass,Common,2012,Italian,Standard,,Cold Flare,003/059,Boundaries Crossed common
Scyther,boundaries_crossed_7_pt,Boundaries Crossed,BC,7/149,Grass,Common,2012,Portuguese,Standard,,Cold Flare,003/059,Boundaries Crossed common
Scyther,boundaries_crossed_7_es,Boundaries Crossed,BC,7/149,Grass,Common,2012,Spanish,Standard,,Cold Flare,003/059,Boundaries Crossed common
Scyther,dark_explorers_4,Dark Explorers,DE,4/108,Grass,Uncommon,2012,English,Standard,,Zekrom-EX Battle Strength Deck,001/018,Dark Explorers uncommon
Insécateur,dark_explorers_4_fr,Dark Explorers,DE,4/108,Grass,Uncommon,2012,French,Standard,,Zekrom-EX Battle Strength Deck,001/018,Dark Explorers uncommon
Sichlor,dark_explorers_4_de,Dark Explorers,DE,4/108,Grass,Uncommon,2012,German,Standard,,Zekrom-EX Battle Strength Deck,001/018,Dark Explorers uncommon
Scyther,dark_explorers_4_it,Dark Explorers,DE,4/108,Grass,Uncommon,2012,Italian,Standard,,Zekrom-EX Battle Strength Deck,001/018,Dark Explorers uncommon
Scyther,dark_explorers_4_pt,Dark Explorers,DE,4/108,Grass,Uncommon,2012,Portuguese,Standard,,Zekrom-EX Battle Strength Deck,001/018,Dark Explorers uncommon
Scyther,dark_explorers_4_es,Dark Explorers,DE,4/108,Grass,Uncommon,2012,Spanish,Standard,,Zekrom-EX Battle Strength Deck,001/018,Dark Explorers uncommon
Scyther,celestial_storm_4,Celestial Storm,CES,4/168,Grass,Uncommon,2018,English,Standard,,Champion Road,004/066,Modern era Scyther from Celestial Storm
Insécateur,celestial_storm_4_fr,Celestial Storm,CES,4/168,Grass,Uncommon,2018,French,Standard,,Champion Road,004/066,Modern era Scyther from Celestial Storm
Sichlor,celestial_storm_4_de,Celestial Storm,CES,4/168,Grass,Uncommon,2018,German,Standard,,Champion Road,004/066,Modern era Scyther from Celestial Storm
Scyther,celestial_storm_4_it,Celestial Storm,CES,4/168,Grass,Uncommon,2018,Italian,Standard,,Champion Road,004/066,Modern era Scyther from Celestial Storm
스라크,celestial_storm_4_ko,Celestial Storm,CES,4/168,Grass,Uncommon,2018,Korean,Standard,,Champion Road,004/066,Modern era Scyther from Celestial Storm
Scyther,celestial_storm_4_pt,Celestial Storm,CES,4/168,Grass,Uncommon,2018,Portuguese,Standard,,Champion Road,004/066,Modern era Scyther from Celestial Storm
Scyther,celestial_storm_4_es,Celestial Storm,CES,4/168,Grass,Uncommon,2018,Spanish,Standard,,Champion Road,004/066,Modern era Scyther from Celestial Storm
飞天螳螂,lost_thunder_3_zh-CN,Lost Thunder,LT,3/214,Grass,Common,2018,Chinese Simplified,Standard,,Super-Burst Impact,001/095,Lost Thunder common
飛天螳螂,lost_thunder_3_zh-TW,Lost Thunder,LT,3/214,Grass,Common,2018,Chinese Traditional,Standard,,Super-Burst Impact,001/095,Lost Thunder common
Scyther,lost_thunder_3,Lost Thunder,LT,3/214,Grass,Common,2018,English,Standard,,Super-Burst Impact,001/095,Lost Thunder common
Insécateur,lost_thunder_3_fr,Lost Thunder,LT,3/214,Grass,Common,2018,French,Standard,,Super-Burst Impact,001/095,Lost Thunder common
Sichlor,lost_thunder_3_de,Lost Thunder,LT,3/214,Grass,Common,2018,German,Standard,,Super-Burst Impact,001/095,Lost Thunder common
Scyther,lost_thunder_3_id,Lost Thunder,LT,3/214,Grass,Common,2018,Indonesian,Standard,,Super-Burst Impact,001/095,Lost Thunder common
Scyther,lost_thunder_3_it,Lost Thunder,LT,3/214,Grass,Common,2018,Italian,Standard,,Super-Burst Impact,001/095,Lost Thunder common
스라크,lost_thunder_3_ko,Lost Thunder,LT,3/214,Grass,Common,2018,Korean,Standard,,Super-Burst Impact,001/095,Lost Thunder common
Scyther,lost_thunder_3_pt,Lost Thunder,LT,3/214,Grass,Common,2018,Portuguese,Standard,,Super-Burst Impact,001/095,Lost Thunder common
Scyther,lost_thunder_3_es,Lost Thunder,LT,3/214,Grass,Common,2018,Spanish,Standard,,Super-Burst Impact,001/095,Lost Thunder common
ไซเธอร์,lost_thunder_3_th,Lost Thunder,LT,3/214,Grass,Common,2018,Thai,Standard,,Super-Burst Impact,001/095,Lost Thunder common
飛天螳螂,hidden_fates_5_zh-TW,Hidden Fates,HF,5/68,Grass,Uncommon,2019,Chinese Traditional,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
Scyther,hidden_fates_5,Hidden Fates,HF,5/68,Grass,Uncommon,2019,English,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
Insécateur,hidden_fates_5_fr,Hidden Fates,HF,5/68,Grass,Uncommon,2019,French,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
Sichlor,hidden_fates_5_de,Hidden Fates,HF,5/68,Grass,Uncommon,2019,German,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
Scyther,hidden_fates_5_id,Hidden Fates,HF,5/68,Grass,Uncommon,2019,Indonesian,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
Scyther,hidden_fates_5_it,Hidden Fates,HF,5/68,Grass,Uncommon,2019,Italian,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
스라크,hidden_fates_5_ko,Hidden Fates,HF,5/68,Grass,Uncommon,2019,Korean,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
Scyther,hidden_fates_5_pt,Hidden Fates,HF,5/68,Grass,Uncommon,2019,Portuguese,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
Scyther,hidden_fates_5_es,Hidden Fates,HF,5/68,Grass,Uncommon,2019,Spanish,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
ไซเธอร์,hidden_fates_5_th,Hidden Fates,HF,5/68,Grass,Uncommon,2019,Thai,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
飛天螳螂,hidden_fates_sv1_shiny_zh-TW,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,Chinese Traditional,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
Scyther,hidden_fates_sv1_shiny,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,English,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
Insécateur,hidden_fates_sv1_shiny_fr,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,French,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
Sichlor,hidden_fates_sv1_shiny_de,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,German,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
Scyther,hidden_fates_sv1_shiny_id,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,Indonesian,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
Scyther,hidden_fates_sv1_shiny_it,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,Italian,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
스라크,hidden_fates_sv1_shiny_ko,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,Korean,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
Scyther,hidden_fates_sv1_shiny_pt,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,Portuguese,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
Scyther,hidden_fates_sv1_shiny_es,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,Spanish,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
ไซเธอร์,hidden_fates_sv1_shiny_th,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,Thai,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
飞天螳螂,rebel_clash_4_zh-CN,Rebel Clash,RC,004/192,Grass,Common,2020,Chinese Simplified,Standard,,Rebellion Crash,001/096,Rebel Clash common
飛天螳螂,rebel_clash_4_zh-TW,Rebel Clash,RC,004/192,Grass,Common,2020,Chinese Traditional,Standard,,Rebellion Crash,001/096,Rebel Clash common
Scyther,rebel_clash_4,Rebel Clash,RC,004/192,Grass,Common,2020,English,Standard,,Rebellion Crash,001/096,Rebel Clash common
Insécateur,rebel_clash_4_fr,Rebel Clash,RC,004/192,Grass,Common,2020,French,Standard,,Rebellion Crash,001/096,Rebel Clash common
Sichlor,rebel_clash_4_de,Rebel Clash,RC,004/192,Grass,Common,2020,German,Standard,,Rebellion Crash,001/096,Rebel Clash common
Scyther,rebel_clash_4_id,Rebel Clash,RC,004/192,Grass,Common,2020,Indonesian,Standard,,Rebellion Crash,001/096,Rebel Clash common
Scyther,rebel_clash_4_it,Rebel Clash,RC,004/192,Grass,Common,2020,Italian,Standard,,Rebellion Crash,001/096,Rebel Clash common
스라크,rebel_clash_4_ko,Rebel Clash,RC,004/192,Grass,Common,2020,Korean,Standard,,Rebellion Crash,001/096,Rebel Clash common
Scyther,rebel_clash_4_pt,Rebel Clash,RC,004/192,Grass,Common,2020,Portuguese,Standard,,Rebellion Crash,001/096,Rebel Clash common
Scyther,rebel_clash_4_es,Rebel Clash,RC,004/192,Grass,Common,2020,Spanish,Standard,,Rebellion Crash,001/096,Rebel Clash common
ไซเธอร์,rebel_clash_4_th,Rebel Clash,RC,004/192,Grass,Common,2020,Thai,Standard,,Rebellion Crash,001/096,Rebel Clash common
飞天螳螂,astral_radiance_4_zh-CN,Astral Radiance,AR,004/189,Grass,Common,2022,Chinese Simplified,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
飛天螳螂,astral_radiance_4_zh-TW,Astral Radiance,AR,004/189,Grass,Common,2022,Chinese Traditional,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
Scyther,astral_radiance_4,Astral Radiance,AR,004/189,Grass,Common,2022,English,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
Insécateur,astral_radiance_4_fr,Astral Radiance,AR,004/189,Grass,Common,2022,French,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
Sichlor,astral_radiance_4_de,Astral Radiance,AR,004/189,Grass,Common,2022,German,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
Scyther,astral_radiance_4_id,Astral Radiance,AR,004/189,Grass,Common,2022,Indonesian,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
Scyther,astral_radiance_4_it,Astral Radiance,AR,004/189,Grass,Common,2022,Italian,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
스라크,astral_radiance_4_ko,Astral Radiance,AR,004/189,Grass,Common,2022,Korean,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
Scyther,astral_radiance_4_pt,Astral Radiance,AR,004/189,Grass,Common,2022,Portuguese,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
Scyther,astral_radiance_4_es,Astral Radiance,AR,004/189,Grass,Common,2022,Spanish,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
ไซเธอร์,astral_radiance_4_th,Astral Radiance,AR,004/189,Grass,Common,2022,Thai,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
飞天螳螂,astral_radiance_5_zh-CN,Astral Radiance,AR,005/189,Grass,Common,2022,Chinese Simplified,Standard,,Battle Region,004/067,Astral Radiance alternate common
飛天螳螂,astral_radiance_5_zh-TW,Astral Radiance,AR,005/189,Grass,Common,2022,Chinese Traditional,Standard,,Battle Region,004/067,Astral Radiance alternate common
Scyther,astral_radiance_5,Astral Radiance,AR,005/189,Grass,Common,2022,English,Standard,,Battle Region,004/067,Astral Radiance alternate common
